x,y,z
0.139369,0.0865928,0.491092
0.141219,0.0866989,0.491694
0.143119,0.0867731,0.492115
0.145052,0.0868146,0.49235
0.147,0.0868231,0.492398
0.148942,0.0867984,0.492258
0.161589,0.0865287,0.490729
0.175501,0.0862321,0.489047
0.190804,0.0859058,0.487196
0.207637,0.0855469,0.485161
0.226154,0.0851521,0.482922
0.246522,0.0847178,0.480459
0.268927,0.0842401,0.47775
0.293572,0.0837147,0.47477
0.320682,0.0831366,0.471491
0.350504,0.0825008,0.467885
0.383307,0.0818014,0.463919
0.41939,0.0810321,0.459556
0.459082,0.0801858,0.454756
0.502743,0.0792549,0.449477
0.55077,0.0782309,0.443669
0.6036,0.0771045,0.437281
0.638042,0.076132,0.431766
0.671944,0.0746964,0.423624
0.705097,0.0728062,0.412905
0.737302,0.0704731,0.399673
0.768361,0.0677113,0.38401
0.798086,0.0645374,0.36601
0.826296,0.0609709,0.345783
0.85282,0.0570335,0.323453
0.877495,0.052749,0.299155
0.900173,0.0481436,0.273036
0.911093,0.0461968,0.261995
0.924092,0.0446828,0.253409
0.938608,0.0436669,0.247647
0.956824,0.0427599,0.242504
0.975039,0.041853,0.23736
0.993254,0.040946,0.232216
0.993254,0.0356391,0.202119
0.993254,0.0298015,0.169013
0.993254,0.0233801,0.132595
0.993254,0.0163166,0.0925363
0.993254,0.00854682,0.0484714
0.993254,0.0,0.0
0.0,0.0,0.0
0.00222086,0.0227046,0.0623804
0.00800945,0.0430548,0.118292
0.0162716,0.0612387,0.168252
0.0261595,0.0774521,0.212798
0.0370249,0.0918879,0.25246
0.0483785,0.10473,0.287742
0.0598573,0.116148,0.319114
0.0711969,0.1263,0.347005
0.0822096,0.135326,0.371804
0.0927669,0.143354,0.393861
0.102786,0.150496,0.413486
0.112217,0.156855,0.430956
0.121037,0.162519,0.446518
0.129241,0.167567,0.460387
0.130284,0.16813,0.461933
0.131483,0.168655,0.463376
0.132826,0.169137,0.464701
0.134301,0.169572,0.465896
0.135894,0.169956,0.46695
0.137589,0.170284,0.467853
0.139369,0.170554,0.468594
0.141219,0.170764,0.469169
0.143119,0.17091,0.46957
0.145052,0.170991,0.469795
0.147,0.171008,0.469841
0.148942,0.170959,0.469707
0.161589,0.170428,0.468248
0.175501,0.169844,0.466643
0.190804,0.169201,0.464877
0.207637,0.168495,0.462935
0.226154,0.167717,0.460799
0.246522,0.166862,0.458448
0.268927,0.165921,0.455863
0.293572,0.164886,0.45302
0.320682,0.163747,0.449892
0.350504,0.162495,0.446451
0.383307,0.161117,0.442666
0.41939,0.159602,0.438503
0.459082,0.157935,0.433923
0.502743,0.156102,0.428886
0.55077,0.154085,0.423344
0.6036,0.151866,0.417249
0.638042,0.149951,0.411986
0.671944,0.147123,0.404217
0.705097,0.1434,0.393989
0.737302,0.138805,0.381364
0.768361,0.133365,0.366418
0.798086,0.127114,0.349243
0.826296,0.120089,0.329943
0.85282,0.112334,0.308635
0.877495,0.103895,0.28545
0.900173,0.0948245,0.260528
0.911093,0.0909899,0.249993
0.924092,0.088008,0.2418
0.938608,0.086007,0.236302
